wine number,date,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,color
636,2024-07-14,6.7,0.18,0.24,10.3,0.057,64,185,0.99519,3.12,0.5,10.6,neutral,white
637,2022-05-04,8.3,0.66,0.15,1.9,0.079,17,42,0.9972,3.31,0.54,9.6,neutral,red
638,2022-07-15,9.1,0.76,0.68,1.7,0.414,18,64,0.99652,2.9,1.33,9.1,neutral,red
639,2023-03-16,9.5,0.42,0.41,2.3,0.034,22,145,0.9951,3.06,0.52,11,neutral,white
640,2022-09-02,6,0.26,0.34,1.3,0.046,6,29,0.9924,3.29,0.63,10.4,slightly dissatisfied,white
641,2024-03-13,7.2,0.5,0,0.8,0.034,46,114,0.9932,3.19,0.34,9.2,moderately dissatisfied,white
642,2022-10-15,6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,neutral,white
643,2022-05-26,6.6,0.295,0.24,1.6,0.039,29,140,0.99304,3.35,0.61,10.4,slightly satisfied,white
644,2024-01-12,7.4,0.32,0.22,1.7,0.051,50,179,0.9955,3.28,0.69,8.9,slightly dissatisfied,white
645,2022-08-11,5.9,0.27,0.27,5,0.035,14,97,0.99058,3.1,0.33,11.8,slightly satisfied,white
646,2022-06-26,6.1,0.37,0.46,12,0.042,61,210,0.997,3.17,0.59,9.7,neutral,white
647,2023-06-05,5.9,0.17,0.3,1.4,0.042,25,119,0.9931,3.68,0.72,10.5,neutral,white
648,2022-05-07,7.1,0.56,0.14,1.6,0.078,7,18,0.99592,3.27,0.62,9.3,slightly dissatisfied,red
649,2023-11-20,6.1,0.64,0.02,2.4,0.069,26,46,0.99358,3.47,0.45,11,slightly dissatisfied,red
650,2024-08-30,5.4,0.46,0.15,2.1,0.026,29,130,0.98953,3.39,0.77,13.4,moderately satisfied,white
651,2023-11-04,7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,neutral,white
652,2022-09-02,6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,neutral,red
653,2022-08-28,7.6,0.29,0.42,1.3,0.035,18,86,0.9908,2.99,0.39,11.3,slightly dissatisfied,white
654,2023-10-29,6.7,0.15,0.38,1.7,0.037,20,84,0.99046,3.09,0.53,11.4,neutral,white
655,2022-03-05,6.4,0.15,0.36,1.8,0.034,43,150,0.9922,3.42,0.69,11,moderately satisfied,white
656,2023-04-19,6,0.41,0.23,1.1,0.066,22,148,0.99266,3.3,0.47,9.633333333,slightly dissatisfied,white
657,2024-10-26,9.4,0.615,0.28,3.2,0.087,18,72,1.0001,3.31,0.53,9.7,slightly dissatisfied,red
658,2022-03-01,9.1,0.36,0.39,1.8,0.06,21,55,0.99495,3.18,0.82,11,slightly satisfied,red
659,2024-08-24,6.3,0.41,0.16,0.9,0.032,25,98,0.99274,3.16,0.42,9.5,slightly dissatisfied,white
660,2022-03-04,5.7,0.44,0.13,7,0.025,28,173,0.9913,3.33,0.48,12.5,neutral,white
661,2022-10-05,8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,neutral,red
662,2023-06-26,5.5,0.485,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7,moderately dissatisfied,white
663,2023-05-26,8,0.19,0.36,1.8,0.05,16,84,0.9936,3.15,0.45,9.8,slightly satisfied,white
664,2023-03-12,6.4,0.3,0.36,2,0.052,18,141,0.99273,3.38,0.53,10.5,neutral,white
665,2024-03-16,7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7,slightly dissatisfied,white
666,2024-08-02,5.8,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,slightly dissatisfied,white
667,2022-03-26,6,0.29,0.21,15.55,0.043,20,142,0.99658,3.11,0.54,10.1,neutral,white
668,2023-09-01,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,slightly satisfied,white
669,2024-02-01,8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,neutral,red
670,2023-09-25,11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,slightly dissatisfied,red
671,2023-03-03,6.4,0.36,0.53,2.2,0.23,19,35,0.9934,3.37,0.93,12.4,neutral,red
672,2022-07-10,6.8,0.22,0.36,1.2,0.052,38,127,0.9933,3.04,0.54,9.2,slightly dissatisfied,white
673,2022-06-07,8.7,0.24,0.35,0.6,0.042,11,71,0.9926,3.08,0.38,10.6,slightly dissatisfied,white
674,2023-06-07,7,0.29,0.54,10.7,0.046,59,234,0.9966,3.05,0.61,9.5,slightly dissatisfied,white
675,2023-11-22,7.5,0.26,0.25,1.7,0.038,29,129,0.99312,3.45,0.56,10.4,neutral,white
676,2024-06-08,8.9,0.3,0.35,4.6,0.032,32,148,0.99458,3.15,0.45,11.5,slightly satisfied,white
677,2022-07-16,6,0.2,0.26,1.1,0.033,38,67,0.98954,3.14,0.38,11.5,neutral,white
678,2023-05-17,7.7,0.27,0.49,3.8,0.037,46,139,0.99116,3.04,0.38,11.6,neutral,white
679,2024-03-16,8.1,0.19,0.58,16.65,0.049,48,181,1.0006,3.2,0.62,9.1,neutral,white
680,2022-04-12,7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,neutral,white
681,2023-07-14,6.8,0.43,0.3,3.5,0.033,27,135,0.9906,3,0.37,12,neutral,white
682,2023-06-22,7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,slightly satisfied,white
683,2023-12-27,6.4,0.4,0.25,4.2,0.032,15,91,0.98988,3.26,0.52,13.1,neutral,white
684,2023-06-14,6.8,0.22,0.32,5.9,0.054,40,152,0.9938,3.2,0.57,10.8,neutral,white
685,2024-09-10,5.9,0.3,0.23,4.2,0.038,42,119,0.9924,3.15,0.5,11,slightly dissatisfied,white
686,2023-11-04,8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,slightly dissatisfied,red
687,2023-12-31,7.1,0.44,0.27,8.4,0.057,60,160,0.99257,3.16,0.36,11.8,neutral,white
688,2024-05-06,6.4,0.35,0.28,12.6,0.039,19,124,0.99539,3.2,0.43,10.6,neutral,white
689,2023-04-13,7.2,0.115,0.3,6.8,0.056,26,105,0.9954,3.44,0.4,9.6,neutral,white
690,2023-04-09,7.5,0.14,0.34,1.3,0.055,50,153,0.9945,3.29,0.8,9.6,neutral,white
691,2022-06-12,7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,slightly dissatisfied,red
692,2022-09-19,7.1,0.28,0.28,8.5,0.03,25,191,0.99338,3.16,0.46,12.2,slightly satisfied,white
693,2022-06-26,6.8,0.3,0.26,20.3,0.037,45,150,0.99727,3.04,0.38,12.3,neutral,white
694,2023-01-28,6.8,0.23,0.4,1.6,0.047,5,133,0.993,3.23,0.7,11.4,neutral,white
695,2022-03-26,6.7,0.38,0.26,9.55,0.036,35,91,0.9919,2.98,0.37,12.4,neutral,white
696,2022-07-10,8.6,0.23,0.46,1,0.054,9,72,0.9941,2.95,0.49,9.1,neutral,white
697,2022-01-02,6.3,0.27,0.29,12.2,0.044,59,196,0.99782,3.14,0.4,8.8,neutral,white
698,2023-02-19,6.4,0.36,0.2,5.7,0.118,61,172,0.9946,3.24,0.43,9.5,neutral,white
699,2023-10-23,6.2,0.26,0.19,3.4,0.049,47,172,0.9924,3.14,0.43,10.4,neutral,white
700,2024-09-28,6.6,0.17,0.26,7.4,0.052,45,128,0.99388,3.16,0.37,10,neutral,white
701,2022-07-02,6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,slightly dissatisfied,white
702,2022-03-24,6.3,0.26,0.24,7.2,0.039,38,172,0.9958,3.49,0.64,9.7,neutral,white
703,2023-12-30,7.2,0.2,0.38,1,0.037,21,74,0.9918,3.21,0.37,11,slightly dissatisfied,white
704,2022-10-08,6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9,moderately dissatisfied,white
705,2024-12-07,7.4,0.19,0.3,12.8,0.053,48.5,212,0.9986,3.14,0.49,9.1,slightly satisfied,white
706,2022-11-17,6.2,0.34,0.28,7.5,0.034,40,197,0.99485,3.14,0.6,9.7,slightly dissatisfied,white
707,2024-10-08,5.9,0.29,0.33,7.4,0.037,58,205,0.99495,3.26,0.41,9.6,slightly dissatisfied,white
708,2023-04-08,6.6,0.16,0.32,1.4,0.035,49,186,0.9906,3.35,0.64,12.4,moderately satisfied,white
709,2023-07-20,8.3,0.21,0.49,19.8,0.054,50,231,1.0012,2.99,0.54,9.2,slightly dissatisfied,white
710,2024-02-27,7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,neutral,white
711,2024-08-06,7.4,0.965,0,2.2,0.088,16,32,0.99756,3.58,0.67,10.2,slightly dissatisfied,red
712,2024-11-14,7,0.62,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3,slightly dissatisfied,red
713,2024-06-07,6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,neutral,red
714,2024-07-10,7.6,0.39,0.32,3.6,0.035,22,93,0.99144,3.08,0.6,12.5,slightly satisfied,white
715,2023-03-12,7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,slightly dissatisfied,white
716,2023-10-19,5.6,0.3,0.1,6.4,0.043,34,142,0.99382,3.14,0.48,9.8,slightly dissatisfied,white
717,2022-10-21,5.4,0.31,0.47,3,0.053,46,144,0.9931,3.29,0.76,10,slightly dissatisfied,white
718,2023-06-05,6.2,0.24,0.27,2.9,0.039,30,123,0.98959,3.12,0.37,12.8,neutral,white
719,2023-06-19,6.1,0.22,0.4,1.85,0.031,25,111,0.98966,3.03,0.3,11.8,slightly satisfied,white
720,2022-04-20,9.3,0.5,0.36,1.8,0.084,6,17,0.99704,3.27,0.77,10.8,neutral,red
721,2023-09-01,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,slightly satisfied,white
722,2023-11-07,6.3,0.29,0.3,8.1,0.212,60,150,0.9958,3.1,0.4,9.3,slightly dissatisfied,white
723,2024-08-05,6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.55,neutral,white
724,2022-01-19,7.5,0.4,1,19.5,0.041,33,148,0.9977,3.24,0.38,12,neutral,white
725,2023-12-27,6.5,0.3,0.39,7.8,0.038,61,219,0.9959,3.19,0.5,9.4,slightly dissatisfied,white
726,2022-07-14,6.5,0.32,0.3,2.3,0.051,20,127,0.98964,3.13,0.52,12.8,neutral,white
727,2023-01-31,6.8,0.14,0.35,1.5,0.047,40,117,0.99111,3.07,0.72,11.1,neutral,white
728,2022-09-01,7.4,0.2,0.29,1.7,0.047,16,100,0.99243,3.28,0.45,10.6,neutral,white
729,2023-03-01,7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,neutral,white
730,2023-12-05,6.4,0.35,0.28,1.6,0.037,31,113,0.98779,3.12,0.4,14.2,slightly satisfied,white
731,2024-05-11,6.7,0.31,0.18,7.7,0.043,57,200,0.99566,3.17,0.44,9.4,neutral,white
732,2023-08-20,7.5,0.4,0.18,1.6,0.079,24,58,0.9965,3.34,0.58,9.4,slightly dissatisfied,red
733,2022-08-01,6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,slightly dissatisfied,red
734,2024-04-28,7.4,0.3,0.32,1.7,0.03,23,128,0.9929,3.17,0.66,10.9,slightly dissatisfied,white
735,2022-09-19,7.4,0.18,0.29,1.4,0.042,34,101,0.99384,3.54,0.6,10.5,slightly satisfied,white
736,2023-02-12,7.3,0.24,0.43,2,0.021,20,69,0.99,3.08,0.56,12.2,neutral,white
737,2022-05-22,6.1,0.16,0.29,6,0.03,29,144,0.99474,3.68,0.46,10.7,neutral,white
738,2022-02-14,6.8,0.24,0.29,9.5,0.042,56,157,0.99586,3.11,0.51,10.1,neutral,white
739,2022-09-02,6.4,0.33,0.44,8.9,0.055,52,164,0.99488,3.1,0.48,9.6,slightly dissatisfied,white
740,2024-01-27,6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8,slightly dissatisfied,white
741,2023-04-12,7.7,0.32,0.62,10.6,0.036,56,153,0.9978,3.13,0.44,8.9,neutral,white
742,2022-06-06,6.9,0.26,0.38,10.5,0.044,33,139,0.99517,3.06,0.5,10.3,neutral,white
743,2024-05-06,6.3,0.23,0.33,6.9,0.052,23,118,0.9938,3.23,0.46,10.4,neutral,white
744,2024-08-03,10.6,0.42,0.48,2.7,0.065,5,18,0.9972,3.21,0.87,11.3,neutral,red
745,2022-12-18,6.4,0.34,0.23,6.3,0.039,37,143,0.9944,3.19,0.65,10,neutral,white
746,2023-12-31,6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,neutral,white
747,2022-02-22,6.5,0.24,0.36,2.2,0.027,36,134,0.9898,3.28,0.36,12.5,slightly satisfied,white
748,2024-05-06,6.5,0.4,0.31,3.5,0.046,22,147,0.99024,3.15,0.31,12,slightly satisfied,white
749,2023-07-05,5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,neutral,white
750,2022-10-14,6.7,0.24,0.36,8.4,0.042,42,123,0.99473,3.34,0.52,10.9,neutral,white
751,2023-12-20,7.9,0.46,0.4,10.1,0.168,19,184,0.99782,3.06,0.62,9.5,slightly dissatisfied,white
752,2022-01-29,6.2,0.25,0.44,15.8,0.057,39,167,0.99804,3.14,0.51,9.2,slightly dissatisfied,white
753,2022-06-26,8.8,0.28,0.45,6,0.022,14,49,0.9934,3.01,0.33,11.1,slightly satisfied,white
754,2022-06-23,8.3,0.23,0.3,2.1,0.049,21,153,0.9953,3.09,0.5,9.6,neutral,white
755,2023-04-02,7.2,0.21,0.34,11.9,0.043,37,213,0.9962,3.09,0.5,9.6,neutral,white
756,2023-05-26,6.7,0.27,0.69,1.2,0.176,36,106,0.99288,2.96,0.43,9.2,neutral,white
757,2022-10-21,9.2,0.35,0.39,0.9,0.042,15,61,0.9924,2.96,0.28,10.4,moderately dissatisfied,white
758,2023-05-12,8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,neutral,red
759,2024-08-19,6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,slightly dissatisfied,red
760,2023-10-15,6.4,0.24,0.29,1,0.038,18,122,0.9906,3.3,0.42,11.5,slightly dissatisfied,white
761,2023-07-12,6.9,0.25,0.33,1.2,0.035,35,158,0.99082,3.02,0.58,11.3,neutral,white
762,2022-10-31,7.8,0.82,0.29,4.3,0.083,21,64,0.99642,3.16,0.53,9.4,slightly dissatisfied,red
763,2022-11-25,9.1,0.37,0.32,2.1,0.064,4,15,0.99576,3.3,0.8,11.2,neutral,red
764,2022-03-16,8.2,0.51,0.24,2,0.079,16,86,0.99764,3.34,0.64,9.5,neutral,red
765,2024-11-22,10.6,0.5,0.45,2.6,0.119,34,68,0.99708,3.23,0.72,10.9,neutral,red
766,2023-07-22,8.1,0.2,0.28,0.9,0.023,49,87,0.99062,2.92,0.36,11.1,neutral,white
767,2023-06-24,7.6,0.56,0.12,10.4,0.096,22,177,0.9983,3.32,0.45,9.1,moderately dissatisfied,white
768,2022-12-04,6.2,0.34,0.29,7.6,0.047,45,232,0.9955,3.35,0.62,10,neutral,white
769,2023-05-03,8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8,neutral,white
770,2024-06-24,7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,slightly dissatisfied,red
771,2023-08-13,6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,neutral,white
772,2022-05-18,7.7,0.27,0.34,1.8,0.028,26,168,0.9911,2.99,0.48,12.1,slightly satisfied,white
773,2023-09-07,8.6,0.47,0.47,2.4,0.074,7,29,0.9979,3.08,0.46,9.5,slightly dissatisfied,red
774,2022-01-09,5.6,0.2,0.36,2.5,0.048,16,125,0.99282,3.49,0.49,10,neutral,white
775,2022-01-30,6.9,0.54,0.3,2.2,0.088,9,105,0.99725,3.25,1.18,10.5,neutral,red
776,2022-08-08,6.6,0.41,0.27,10.7,0.11,20,103,0.99672,3.08,0.41,9,neutral,white
777,2022-05-05,5.8,0.22,0.3,1.1,0.047,36,131,0.992,3.26,0.45,10.4,slightly dissatisfied,white
778,2024-02-07,7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,slightly dissatisfied,white
779,2022-06-30,7.5,0.41,0.23,14.8,0.054,28,174,0.99898,3.18,0.49,9.7,slightly dissatisfied,white
780,2023-09-02,6.8,0.12,0.3,12.9,0.049,32,88,0.99654,3.2,0.35,9.9,neutral,white
781,2023-03-25,6.6,0.5,0.26,11.3,0.029,32,110,0.99302,3.27,0.78,12.9,moderately satisfied,white
782,2023-07-11,7.8,0.39,0.26,9.9,0.059,33,181,0.9955,3.04,0.42,10.9,neutral,white
783,2022-01-14,6,0.35,0.51,1.2,0.029,10,102,0.9903,3.46,0.42,11.9,neutral,white
784,2023-11-12,9,0.31,0.48,6.6,0.043,11,73,0.9938,2.9,0.38,11.6,slightly dissatisfied,white
785,2023-08-02,6.3,0.37,0.37,1.5,0.024,12,76,0.98876,2.94,0.39,12.3,neutral,white
786,2022-12-07,7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,neutral,red
787,2023-04-30,7.2,0.21,0.28,2.7,0.033,38,94,0.99075,2.99,0.43,11.8,slightly satisfied,white
788,2022-03-17,7.2,0.67,0,2.2,0.068,10,24,0.9956,3.42,0.72,11.1,neutral,red
789,2022-07-29,7.1,0.25,0.32,10.3,0.041,66,272,0.9969,3.17,0.52,9.1,neutral,white
790,2023-06-26,6.4,0.17,0.34,1.5,0.093,43,136,0.9938,3.25,0.49,9.6,neutral,white
791,2023-05-04,5.7,0.21,0.25,1.1,0.035,26,81,0.9902,3.31,0.52,11.4,neutral,white
792,2022-03-02,7.3,0.22,0.49,9.4,0.034,29,134,0.9939,2.99,0.32,11,slightly satisfied,white
793,2023-12-04,8.1,0.2,0.49,11.8,0.048,46,212,0.9968,3.09,0.46,10,slightly satisfied,white
794,2022-02-14,6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,moderately satisfied,white
795,2023-03-22,7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,slightly satisfied,white
796,2022-11-29,6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,neutral,red
797,2023-01-14,7.7,0.26,0.31,1.3,0.043,47,155,0.9937,3.42,0.5,10.1,neutral,white
798,2024-11-19,7.6,0.48,0.28,10.4,0.049,57,205,0.99748,3.24,0.45,9.3,slightly dissatisfied,white
799,2022-07-11,6.5,0.27,0.4,10,0.039,74,227,0.99582,3.18,0.5,9.4,slightly dissatisfied,white
800,2023-03-10,6.9,0.32,0.26,8.3,0.053,32,180,0.9965,3.25,0.51,9.2,neutral,white
801,2024-05-27,6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,neutral,white
802,2024-07-07,7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,slightly satisfied,red
803,2022-08-15,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,slightly satisfied,white
804,2022-02-18,6.1,0.36,0.41,19.35,0.07,67,207,1.00118,3.39,0.53,9.1,slightly dissatisfied,white
805,2023-06-21,7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,slightly dissatisfied,white
806,2023-08-29,6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,moderately dissatisfied,white
807,2024-04-20,8.1,0.25,0.34,10.1,0.05,30,121,0.99724,3.17,0.49,10.1,neutral,white
808,2022-11-13,6.7,0.11,0.26,14.8,0.053,44,95,0.99676,3.2,0.35,9.8,neutral,white
809,2024-02-11,6.7,0.31,0.3,2.4,0.038,30,83,0.98867,3.09,0.36,12.8,slightly satisfied,white
810,2023-12-26,8.9,0.3,0.35,4.6,0.032,32,148,0.99458,3.15,0.45,11.5,slightly satisfied,white
811,2023-04-17,5.8,0.22,0.25,1.5,0.024,21,109,0.99234,3.37,0.58,10.4,neutral,white
812,2022-02-28,7.4,0.18,0.34,2.7,0.03,30,107,0.992,2.97,0.53,11,neutral,white
813,2023-05-06,6.7,0.24,0.37,11.3,0.043,64,173,0.99632,3.08,0.53,9.9,neutral,white
814,2023-12-26,6.6,0.32,0.33,2.5,0.052,40,210,0.99316,3.15,0.6,10,slightly dissatisfied,white
815,2023-06-21,8.4,0.23,0.32,1.3,0.048,59,113,0.99178,3.1,0.55,11,neutral,white
816,2023-02-13,7.5,0.23,0.3,1.2,0.03,27,80,0.99192,3.05,0.68,10.5,slightly dissatisfied,white
817,2023-05-01,6.2,0.32,0.16,7,0.045,30,136,0.9949,3.18,0.47,9.6,neutral,white
818,2022-09-20,5.8,0.23,0.2,2,0.043,39,154,0.99226,3.21,0.39,10.2,neutral,white
819,2023-02-17,6,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6,slightly satisfied,white
820,2022-10-29,7.2,0.51,0.24,10,0.093,35,197,0.9981,3.41,0.47,9,slightly dissatisfied,white
821,2024-08-05,6.7,0.2,0.24,6.5,0.044,28,100,0.99348,3.12,0.33,10.2,neutral,white
822,2023-08-27,7.9,0.42,0.49,8.2,0.056,32,164,0.9965,3.29,0.6,11.2,slightly satisfied,white
823,2024-03-26,7.5,0.42,0.19,6.9,0.041,62,150,0.99508,3.23,0.37,10,neutral,white
824,2024-02-18,7.3,0.41,0.29,1.8,0.032,26,74,0.98889,2.96,0.35,13,moderately satisfied,white
825,2022-06-17,6.6,0.27,0.52,8.1,0.044,53,202,0.99548,3.18,0.48,9.5,slightly dissatisfied,white
826,2022-12-11,6.7,0.26,0.29,5.8,0.025,26,74,0.9929,3.28,0.53,11,neutral,white
827,2024-02-15,7.5,0.2,0.49,1.3,0.031,8,97,0.9918,3.06,0.62,11.1,slightly dissatisfied,white
828,2022-05-23,6.7,0.24,0.41,2.9,0.039,48,122,0.99052,3.25,0.43,12,slightly dissatisfied,white
829,2022-11-06,6.6,0.56,0.14,2.4,0.064,13,29,0.99397,3.42,0.62,11.7,slightly satisfied,red
830,2024-02-16,6.7,0.24,0.35,13.1,0.05,64,205,0.997,3.15,0.5,9.5,slightly dissatisfied,white
831,2022-05-16,7.9,0.14,0.28,1.8,0.041,44,178,0.9954,3.45,0.43,9.2,neutral,white
832,2022-12-08,9.6,0.21,0.28,1.2,0.038,12,53,0.9926,2.8,0.46,10.6,slightly dissatisfied,white
833,2024-01-27,7.6,0.26,0.36,1.6,0.032,6,106,0.993,3.15,0.4,10.4,moderately dissatisfied,white
834,2023-08-02,8.3,0.6,0.13,2.6,0.085,6,24,0.9984,3.31,0.59,9.2,neutral,red
835,2023-02-05,11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,neutral,red
836,2024-12-09,9.1,0.21,0.37,1.6,0.067,6,10,0.99552,3.23,0.58,11.1,slightly satisfied,red
837,2024-10-03,8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,slightly dissatisfied,red
838,2024-10-16,7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,neutral,red
839,2024-01-01,12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,neutral,red
840,2024-02-20,8,0.22,0.31,5.6,0.049,24,97,0.993,3.1,0.42,10.9,slightly dissatisfied,white
841,2024-02-03,7,0.2,0.33,4.7,0.03,25,76,0.99202,2.88,0.54,10.5,neutral,white
842,2022-10-04,5.9,0.415,0.02,0.8,0.038,22,63,0.9932,3.36,0.36,9.3,slightly dissatisfied,white
843,2023-08-24,7.3,0.19,0.27,1.6,0.027,35,136,0.99248,3.38,0.54,11,slightly satisfied,white
844,2024-08-29,7.2,0.24,0.36,2,0.029,21,63,0.99076,3.13,0.63,12.5,neutral,white
845,2024-11-10,6.8,0.21,0.55,14.6,0.053,34,159,0.99805,2.93,0.44,9.2,slightly dissatisfied,white
846,2024-08-20,6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,slightly dissatisfied,white
847,2022-07-10,9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,slightly dissatisfied,red
848,2022-03-19,6.7,0.41,0.27,2.6,0.033,25,85,0.99086,3.05,0.34,11.7,neutral,white
849,2023-12-09,6.8,0.62,0.08,1.9,0.068,28,38,0.99651,3.42,0.82,9.5,neutral,red
850,2023-11-25,7.4,0.35,0.2,13.9,0.054,63,229,0.99888,3.11,0.5,8.9,neutral,white
851,2023-10-19,6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11,slightly satisfied,white
852,2022-10-28,7.4,0.18,0.42,2.1,0.036,33,187,0.9938,3.4,0.41,10.6,slightly satisfied,white
853,2022-01-20,6.8,0.35,0.32,2.4,0.048,35,103,0.9911,3.28,0.46,12,moderately satisfied,white
854,2022-07-18,7.6,0.54,0.23,2,0.029,13,151,0.9931,3.04,0.33,10.4,slightly dissatisfied,white
855,2023-05-29,8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,slightly dissatisfied,red
856,2022-04-11,7,0.32,0.24,6.2,0.048,31,228,0.9957,3.23,0.62,9.4,neutral,white
857,2022-09-05,6.1,0.44,0.28,4.25,0.032,43,132,0.9916,3.26,0.47,11.3,slightly satisfied,white
858,2022-01-15,6.9,0.16,0.37,1.8,0.034,36,95,0.98952,2.93,0.59,12,neutral,white
859,2023-11-09,7,0.36,0.14,11.6,0.043,35,228,0.9977,3.13,0.51,8.9,slightly dissatisfied,white
860,2023-12-21,7.3,0.22,0.41,15.4,0.05,55,191,1,3.32,0.59,8.9,neutral,white
861,2023-05-13,7.5,0.26,0.59,11.8,0.046,58,164,0.99814,3.17,0.46,8.9,moderately dissatisfied,white
862,2023-09-03,6.4,0.27,0.29,3.9,0.034,62,140,0.99237,3.1,0.59,11.1,neutral,white
863,2024-11-28,6.5,0.32,0.34,5.7,0.044,27,91,0.99184,3.28,0.6,12,slightly satisfied,white
864,2023-09-12,7,0.39,0.21,10.7,0.098,13,91,0.99657,3.03,0.47,9.3,slightly dissatisfied,white
865,2022-11-09,7,0.3,0.27,1.5,0.076,24,145,0.99344,3.1,0.52,10.1,slightly dissatisfied,white
866,2023-05-24,7.6,0.49,0.33,1.9,0.074,27,85,0.99706,3.41,0.58,9,slightly dissatisfied,red
867,2023-01-20,6.3,0.4,0.32,10.6,0.049,38,209,0.9981,3.47,0.59,9.3,neutral,white
868,2023-08-05,8.4,0.58,0.27,12.15,0.033,37,116,0.9959,2.99,0.39,10.8,neutral,white
869,2023-03-14,8.3,0.19,0.49,1.2,0.051,11,137,0.9918,3.06,0.46,11,neutral,white
870,2024-05-10,6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,slightly dissatisfied,white
871,2024-11-17,7.1,0.18,0.36,1.4,0.043,31,87,0.9898,3.26,0.37,12.7,slightly satisfied,white
872,2024-01-24,5.2,0.49,0.26,2.3,0.09,23,74,0.9953,3.71,0.62,12.2,neutral,red
873,2023-03-30,7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,slightly dissatisfied,white
874,2024-09-03,5.5,0.16,0.22,4.5,0.03,30,102,0.9938,3.24,0.36,9.4,neutral,white
875,2023-07-05,7.8,0.27,0.35,1.2,0.05,36,140,0.99138,3.09,0.45,11.2,slightly dissatisfied,white
